"id","old_findID","objecttype","broadperiod","institution","filename","imagedir"
572421,"NMGW-4F9643","HOARD","BRONZE AGE","NMGW","DH005804_02.jpg","images/mlodwick/"
571556,"NMGW-BA6184","HOARD","BRONZE AGE","NMGW","DH005809_02.jpg","images/mlodwick/"
570863,"GLO-6535E4","HOARD","BRONZE AGE","GLO","Bronzeagehoard.jpg","images/kadams/"
569677,"BUC-7C4708","PIN","BRONZE AGE","BUC","4DSCN5802.JPG","images/rtyrrell/"
569163,"WMID-3CBCF0","RIBBON","BRONZE AGE","WMID","WMID-3CBCF0.jpg","images/tgilmore/"
568236,"DOR-AC5494","RIBBON","BRONZE AGE","DOR","2013T428b.JPG","images/caht/"
565606,"HAMP-1AE583","HOARD","BRONZE AGE","HAMP","HAMP-1AE583.jpg","images/khindshamp/"
565559,"DOR-18E227","PENANNULAR RING","BRONZE AGE","DOR","18E227.jpg","images/caht/"
560812,"NMS-A1B392","PENANNULAR RING","BRONZE AGE","NMS","51845_A1B39_MBA_PenannularRing.jpg","images/edarch/"
559966,"LVPL-229426","PENANNULAR RING","BRONZE AGE","LVPL","goldring.jpg","images/samrowe/"
558521,"WILT-26F931","RIBBON","BRONZE AGE","WILT","2013T326.JPG","images/rstammers/"
553507,"SUSS-C65251","HOARD","BRONZE AGE","SUSS","2012T832chape2.jpg","images/stephaniesmith/"
552042,"DUR-065531","FLAT AXEHEAD","BRONZE AGE","DUR","DUR-065531-flat-axehead-front.jpg","images/a8622912/"
550008,"LANCUM-069534","FLAT AXEHEAD","BRONZE AGE","LANCUM","LANCUM-069534.jpg","images/snoon/"
550003,"PAS-067AC5","RIBBON","BRONZE AGE","PAS","2013T154rev.JPG","images/ianr/"
549743,"WILT-F01E84","PENANNULAR RING","BRONZE AGE","WILT","2013 T153 WILT-F01E84.jpg","images/rhenry2/"
549153,"LANCUM-9CFBE3","ANVIL","BRONZE AGE","LANCUM","anvil stone.JPG","images/AlexIdris/"
544511,"WMID-A48FC7","FLAT AXEHEAD","BRONZE AGE","WMID","WMID-A48FC7_6.jpg","images/tgilmore/"
543106,"KENT-0C58F2","PENANNULAR RING","BRONZE AGE","KENT","KENT-0C58F2.jpg","images/jjackson/"
538672,"WILT-038191","HOARD","BRONZE AGE","WILT","WILT-038191r.jpg","images/rhenry2/"
537871,"YORYM-AF3DE8","HOARD","BRONZE AGE","YORYM","2013T11b.jpg","images/bmorris/"
537861,"NMS-AEC678","BEAD","BRONZE AGE","NMS","44081_AEC678_BA_Bead.jpg","images/"
531761,"LVPL-34D297","BEAD","BRONZE AGE","LVPL","2012T926edit.jpg","images/voakden/"
530709,"DUR-A24C08","LUNULA","BRONZE AGE","DUR","DUR-A24C08-Detailed.jpg","images/a8622912/"
529326,"BERK-0D1A05","JEWELLERY","BRONZE AGE","BERK","2012205.jpg","images/abyard/"
525053,"LANCUM-D725A4","AXE","BRONZE AGE","LANCUM","LANCUM-D725A4.jpg","images/snoon/"
524807,"ESS-C13B97","RIBBON","BRONZE AGE","ESS","C13B97.jpg","images/eloise77/"
523192,"DOR-D93B80","PENANNULAR RING","BRONZE AGE","DOR","penannular.jpg","images/caht/"
522921,"SUSS-B02677","PENANNULAR RING","BRONZE AGE","SUSS","SUSS-B02677.jpg","images/corbie01/"
522118,"SUR-1B64F5","UNIDENTIFIED OBJECT","BRONZE AGE","SUR","DSCN8763.JPG","images/dwilliams/"
517406,"LEIC-4AB781","PENANNULAR RING","BRONZE AGE","LEIC","4AB781a.JPG","images/wscott/"
509421,"PAS-833958","HOARD","BRONZE AGE","PAS","00792070_001.jpg","images/ianr/"
509284,"NMS-46A4D6","RIBBON","BRONZE AGE","NMS","2012_T466.jpg","images/edarch/"
506720,"LVPL-5DFE32","HOARD","BRONZE AGE","LVPL","LVPL5DFE32_1306.jpg","images/voakden/"
506690,"NMS-5D0C86","PENANNULAR RING","BRONZE AGE","NMS","57857_LBA_PenannularRing_ILL.jpg","images/edarch/"
506476,"BH-1EC018","ARMLET","BRONZE AGE","BH","2012T441.jpg","images/jwatters/"
506201,"YORYM-06C5C1","PENANNULAR RING","BRONZE AGE","YORYM","2012 T437.jpg","images/bmorris/"
504819,"GLO-F8F3B7","BEAD","BRONZE AGE","GLO","DSC_0399 copy.jpg","images/kadams/"
502908,"WILT-12B9D2","TORC","BRONZE AGE","WILT","WILT-12B9D2.jpg","images/khinds/"
502202,"WAW-97DE52","PENANNULAR RING","BRONZE AGE","WAW","WAW-97DE52.jpg","images/abolton/"
498796,"PAS-EA6A95","PENANNULAR RING","BRONZE AGE","PAS","2005T373b.JPG","images/cbarton/"
498762,"PAS-E9E2A1","MOUNT","BRONZE AGE","PAS","2005t80b.JPG","images/cbarton/"
498742,"PAS-E92EA0","BRACELET","BRONZE AGE","PAS","2006T34b.JPG","images/cbarton/"
498709,"PAS-DA09A3","PENANNULAR RING","BRONZE AGE","PAS","2005T195b.JPG","images/cbarton/"
496755,"ESS-AF35D7","PENANNULAR RING","BRONZE AGE","ESS","2012T239side.JPG","images/lmclean/"
496680,"ESS-AD6886","PENANNULAR RING","BRONZE AGE","ESS","2012 T237 Bronze Age Penannular Ring.jpg","images/lmclean/"
492453,"SUSS-63B7A6","PENANNULAR RING","BRONZE AGE","SUSS","SUSS-63B7A6BronzeAgeGoldRing.jpg","images/stephaniesmith/"
490747,"KENT-7D4A11","HOARD","BRONZE AGE","KENT","2004T146c.jpg","images/karend1/"
490678,"SUR-7A1338","PENANNULAR RING","BRONZE AGE","SUR","DSCN6320.JPG","images/dwilliams/"
490673,"KENT-79D666","PENANNULAR RING","BRONZE AGE","KENT","2003T87top cropped.jpg","images/karend1/"
490486,"NMS-65A2F7","PENDANT","BRONZE AGE","NMS","20508_LBA_Pendant_1_ILL.jpg","images/edarch/"
486202,"NLM-A971D5","RING","BRONZE AGE","NLM","NLM19262.jpg","images/mforeman/"
481213,"BH-EFD841","BRACELET","BRONZE AGE","BH","2012T9 all views.jpg","images/jwatters/"
478442,"CAM-08B4E0","BRACELET","BRONZE AGE","CAM","CAM-08B4E0.jpg","images/hfowler/"
477589,"LIN-76B150","TORC","BRONZE AGE","LIN","2011T890side.JPG","images/adaubney/"
473982,"SF-D30D10","BEAD","BRONZE AGE","SF","CAV_SF-D30D10.jpg","images/abrown/"
473204,"WILT-A74356","HOARD","BRONZE AGE","WILT","2011T793a.JPG","images/khinds/"
471623,"WILT-D50014","PENANNULAR RING","BRONZE AGE","WILT","WILT-D50014.jpg","images/khinds/"
468812,"WMID-92EA15","RING","BRONZE AGE","WMID","2011T712.JPG","images/tbrindle/"
468216,"PUBLIC-43DD54","PENANNULAR RING","BRONZE AGE","PUBLIC","ring money.jpg","images/chezeelia/"
464478,"WILT-44C630","PENANNULAR RING","BRONZE AGE","WILT","Booth0911penannularring.jpg","images/khinds/"
463526,"LIN-9F2713","PENANNULAR RING","BRONZE AGE","LIN","2011_T580.jpg","images/adaubney/"
463380,"HAMP-99FF65","PENANNULAR RING","BRONZE AGE","HAMP","HAMP-99FF65penannularring.jpg","images/rwebley/"
461625,"WILT-89AE12","HOARD","BRONZE AGE","WILT","2011T534d.jpg","images/khinds/"
461306,"HAMP-72E451","BEAD","BRONZE AGE","HAMP","HAMP-72E451bead.jpg","images/rwebley/"
460255,"IOW-C0C054","TORC","BRONZE AGE","IOW","2011 T501.JPG","images/fbasford/"
460213,"LANCUM-80A136","PENANNULAR RING","BRONZE AGE","LANCUM","2011T499.jpg","images/dboughton/"
458499,"SF-BDA986","HOARD","BRONZE AGE","SF","2011T478excavated.JPG","images/abrown/"
458379,"PAS-B9D6E5","BRACELET","BRONZE AGE","PAS","2009T16.jpg","images/ianr/"
456732,"LIN-946F12","UNIDENTIFIED OBJECT","BRONZE AGE","LIN","2011_T459.jpg","images/adaubney/"
453711,"LVPL-DA4598","FLAT AXEHEAD","BRONZE AGE","LVPL","lvpl-da4598.jpg","images/tgilmore/"
443623,"SUR-B78614","PENANNULAR RING","BRONZE AGE","SUR","11-682.jpg","images/dwilliams/"
438276,"BERK-58C9F1","UNIDENTIFIED OBJECT","BRONZE AGE","BERK","Gold Foil OxArch.jpg","images/abyard/"
